Conf,Season,Team,Total.Wins,Total.Losses,Total.Ties,Total.Pct,Conf.Wins,Conf.Losses,Conf.Ties,Conf.Pct,Off,Def,SRS,SOS,Pre,High,Post,Notes
Ind,1893,Lafayette,2,6,0,0.25,0,0,0,,3,23.3,-7.97,2.91,,,,
Ind,1893,Massachusetts,1,9,0,0.1,0,0,0,,6.4,23.6,-20.81,-7.11,,,,
Ind,1893,Trinity (CT),0,9,2,0.091,0,0,0,,7,17.6,-16.82,-6.91,,,,
Ind,1894,Pennsylvania,12,0,0,1,0,0,0,,30.5,1.7,15.76,-2.49,,,,
Ind,1894,Yale,16,0,0,1,0,0,0,,30.3,0.8,20.34,0.41,,,,
Ind,1894,Harvard,11,2,0,0.846,0,0,0,,25.7,3.5,17.17,1.78,,,,
Ind,1894,Michigan,9,1,1,0.864,0,0,0,,22.2,7.6,5.57,-4.34,,,,
Ind,1894,Princeton,8,2,0,0.8,0,0,0,,20.8,4.4,10.24,0.24,,,,
Ind,1894,Purdue,8,1,0,0.889,0,0,0,,20.2,4,10.63,-1.93,,,,
Ind,1894,Minnesota,3,1,0,0.75,0,0,0,,18.5,2,15.24,2.99,,,,
Ind,1894,Wisconsin,5,2,0,0.714,0,0,0,,21.7,3.7,11.14,-0.01,,,,
Ind,1894,Army,3,2,0,0.6,0,0,0,,19,4.4,13.18,3.38,,,,
Ind,1894,Beloit,5,3,0,0.625,0,0,0,,15.8,16.4,-0.83,-2.46,,,,
Ind,1894,Brown,10,5,0,0.667,0,0,0,,17.5,6.8,8.07,1.14,,,,
Ind,1894,Chicago,14,7,1,0.659,0,0,0,,18.4,6.1,1.82,-6.41,,,,
Ind,1894,Williams,6,3,1,0.65,0,0,0,,11.2,7.5,5.99,1.79,,,,
Ind,1894,Amherst,7,5,1,0.577,0,0,0,,8.5,9.7,-4.73,-4.35,,,,
Ind,1894,Cornell,6,4,1,0.591,0,0,0,,15.8,5.3,11.09,2.91,,,,
Ind,1894,Dartmouth,5,4,0,0.556,0,0,0,,12.4,8.9,3.44,1.77,,,,
Ind,1894,Illinois,4,3,0,0.571,0,0,0,,26,9.4,-0.74,-6.6,,,,
Ind,1894,Massachusetts,3,3,0,0.5,0,0,0,,7.3,11.7,-10.56,-9.56,,,,
Ind,1894,Trinity (CT),4,3,0,0.571,0,0,0,,6.3,9.7,-4.17,-3.32,,,,
Ind,1894,Tufts,6,5,0,0.545,0,0,0,,7.3,13.9,-4.02,-2.57,,,,
Ind,1894,Lafayette,5,6,0,0.455,0,0,0,,17.3,17.4,-2.3,-2.12,,,,
Ind,1894,Lake Forest,3,4,0,0.429,0,0,0,,16.6,19.1,-8.97,-7.11,,,,
Ind,1894,Northwestern,4,5,0,0.444,0,0,0,,8,25.3,-11.97,-4.75,,,,
Ind,1894,Union (NY),3,4,0,0.429,0,0,0,,8.3,15.3,-4.71,0.14,,,,
Ind,1894,Lehigh,5,9,0,0.357,0,0,0,,8.6,17.3,-3.31,2.12,,,,
Ind,1894,MIT,2,5,0,0.286,0,0,0,,4.9,12,-2.09,3.2,,,,
Ind,1894,Wesleyan (CT),0,5,0,0,0,0,0,,2,21.6,-21.53,-3.33,,,,
Ind,1895,Pennsylvania,14,0,0,1,0,0,0,,34.3,1.7,16.17,-4.62,,,,
Ind,1895,Yale,13,0,2,0.933,0,0,0,,21.1,2.5,13.44,-1.62,,,,
Ind,1895,Michigan,8,1,0,0.889,0,0,0,,29.6,1.6,15.12,-1.77,,,,
Ind,1895,Princeton,10,1,1,0.875,0,0,0,,18.7,2.3,10.07,-3.1,,,,
Ind,1895,Army,5,2,0,0.714,0,0,0,,20.1,4.6,13.44,3.72,,,,
Ind,1895,Chicago,10,3,0,0.769,0,0,0,,20,5.1,8.11,-2.97,,,,
Ind,1895,Harvard,8,2,1,0.773,0,0,0,,16.3,3.2,13.91,2.82,,,,
Ind,1895,Lafayette,6,2,0,0.75,0,0,0,,20.3,7.8,4.46,-1.42,,,,
Ind,1895,Minnesota,7,3,0,0.7,0,0,0,,13.6,5.8,5.27,-1.13,,,,
Ind,1895,Illinois,4,2,1,0.643,0,0,0,,30.7,4,8.29,-3.28,,,,
Ind,1895,Tufts,8,5,0,0.615,0,0,0,,10.2,7.8,-1.75,-4.9,,,,
Ind,1895,Wesleyan (CT),6,3,0,0.667,0,0,0,,16.3,6.7,1.07,-5.49,,,,
Ind,1895,Wisconsin,5,2,1,0.688,0,0,0,,18,8.9,7.67,-0.7,,,,
Ind,1895,Amherst,6,5,0,0.545,0,0,0,,15.8,13.8,-4.53,-2.89,,,,
Ind,1895,Brown,7,6,1,0.536,0,0,0,,10.7,7.8,3.68,1.54,,,,
Ind,1895,Dartmouth,7,5,1,0.577,0,0,0,,14.2,7.6,2.97,-0.8,,,,
Ind,1895,Northwestern,6,5,0,0.545,0,0,0,,17.5,12,3.67,-1.15,,,,
Ind,1895,Purdue,4,3,0,0.571,0,0,0,,11.7,8.3,3.99,1.85,,,,
Ind,1895,Trinity (CT),4,4,0,0.5,0,0,0,,17.5,9.5,2.78,-2.35,,,,
Ind,1895,Cornell,3,4,1,0.438,0,0,0,,3.5,11.4,-2.18,2.69,,,,
Ind,1895,Iowa State,3,4,0,0.429,0,0,0,,11.7,10,-1.59,-0.88,,,,
Ind,1895,Williams,4,5,0,0.444,0,0,0,,9.4,19.7,-5.87,-2.09,,,,
Ind,1895,Lake Forest,4,8,0,0.333,0,0,0,,4.9,20.2,-11.55,-1.63,,,,
Ind,1895,Lehigh,3,6,0,0.333,0,0,0,,7,14.9,-4.31,0.35,,,,
Ind,1895,MIT,1,4,0,0.2,0,0,0,,2,18.4,-13.39,0.81,,,,
Ind,1895,Massachusetts,1,5,0,0.167,0,0,0,,3.3,20,-18.24,-4.57,,,,
Ind,1895,Union (NY),0,5,0,0,0,0,0,,1.2,16.8,-8.97,6.43,,,,
Ind,1896,Lafayette,11,0,1,0.958,0,0,0,,20,0.8,13.29,-2.71,,,,
Ind,1896,Pennsylvania,14,1,0,0.933,0,0,0,,21.7,1.6,18.15,0.75,,,,
Ind,1896,Princeton,10,0,1,0.955,0,0,0,,27.2,1.1,18.71,1.17,,,,
Ind,1896,Yale,13,1,0,0.929,0,0,0,,15.6,3.1,11.38,0.03,,,,
Ind,1896,Bowdoin,5,3,2,0.6,0,0,0,,8.2,8.6,-7.78,-7.78,,,,
Ind,1896,Bucknell,5,2,1,0.688,0,0,0,,6.8,12.5,-2.52,-2.65,,,,
Ind,1896,Cornell,5,3,1,0.611,0,0,0,,18,9.1,4.03,-0.42,,,,
Ind,1896,Dartmouth,5,2,1,0.688,0,0,0,,15.3,10.5,5.7,0.32,,,,
Ind,1896,Harvard,7,4,0,0.636,0,0,0,,12,3.6,7.91,1.73,,,,
Ind,1896,Navy,5,3,0,0.625,0,0,0,,22.5,6.6,5.75,-2.5,,,,
Ind,1896,Trinity (CT),5,3,1,0.611,0,0,0,,12,8,-1.67,-4.89,,,,
Ind,1896,Army,3,2,1,0.583,0,0,0,,15.5,7.5,6.71,1.71,,,,
Ind,1896,Carlisle,5,5,0,0.5,0,0,0,,16.4,10.2,8.03,4.53,,,,
Ind,1896,Williams,6,4,1,0.591,0,0,0,,8.7,4.9,1.01,-2.63,,,,
Ind,1896,Brown,4,5,1,0.45,0,0,0,,12.6,10,6.01,5.31,,,,
Ind,1896,Dickinson,4,5,0,0.444,0,0,0,,14.4,10,-0.96,-1.29,,,,
Ind,1896,Franklin & Marshall,3,4,2,0.444,0,0,0,,7.8,13.9,-5.08,-2.42,,,,
Ind,1896,Lake Forest,3,4,1,0.438,0,0,0,,9.5,18.8,-6.5,-1.63,,,,
Ind,1896,Penn State,3,4,0,0.429,0,0,0,,9,18.3,-3.45,2.69,,,,
Ind,1896,Wesleyan (CT),4,5,1,0.45,0,0,0,,8.6,10.6,-1.41,0.7,,,,
Ind,1896,Amherst,3,6,1,0.35,0,0,0,,6.2,12.8,-3.63,1.87,,,,
Ind,1896,Lehigh,2,5,0,0.286,0,0,0,,11.4,18.6,-1.22,5.35,,,,
Ind,1896,Tufts,2,6,1,0.278,0,0,0,,4.7,13,-13.14,-5.03,,,,
Ind,1897,Pennsylvania,15,0,0,1,0,0,0,,30.9,1.3,19.83,0.17,,,,
Ind,1897,Princeton,10,1,0,0.909,0,0,0,,30.8,0.5,19.45,1.17,,,,
Ind,1897,Yale,9,0,2,0.909,0,0,0,,15.5,3.2,13.33,1.97,,,,
Ind,1897,Army,6,1,1,0.813,0,0,0,,24.3,5.1,15.16,1.78,,,,
Ind,1897,Harvard,10,1,1,0.875,0,0,0,,19.4,1.7,16.99,1.24,,,,
Ind,1897,Navy,7,1,0,0.875,0,0,0,,13.8,4.3,4.1,-5.03,,,,
Ind,1897,Lafayette,9,2,1,0.792,0,0,0,,21.3,9.4,10.59,-0.66,,,,
Ind,1897,Brown,7,4,0,0.636,0,0,0,,16.4,13.8,7.06,3.24,,,,
Ind,1897,Carlisle,6,4,0,0.6,0,0,0,,23.2,9.8,7.96,2.26,,,,
Ind,1897,Cornell,5,3,1,0.611,0,0,0,,14.8,4.7,8.16,2.61,,,,
Ind,1897,Dickinson,7,3,2,0.667,0,0,0,,12.2,5.8,-1.51,-5.93,,,,
Ind,1897,Bucknell,3,3,1,0.5,0,0,0,,12.7,14.7,-3.46,0.11,,,,
Ind,1897,Dartmouth,4,3,0,0.571,0,0,0,,23.4,11,6.58,1.58,,,,
Ind,1897,Trinity (CT),4,4,1,0.5,0,0,0,,12.4,8.6,-0.05,-3.38,,,,
Ind,1897,Tufts,6,7,0,0.462,0,0,0,,7.4,10.2,-7.03,-4.03,,,,
Ind,1897,Wesleyan (CT),6,7,0,0.462,0,0,0,,9.3,14.2,0.27,2.88,,,,
Ind,1897,Amherst,2,6,2,0.3,0,0,0,,4,18.8,-10.65,-0.75,,,,
Ind,1897,Franklin & Marshall,2,6,2,0.3,0,0,0,,5.8,19.9,-9.29,-1.39,,,,
Ind,1897,Lehigh,3,7,0,0.3,0,0,0,,8.4,26.1,-5.94,5.06,,,,
Ind,1897,Penn State,3,6,0,0.333,0,0,0,,7.7,15.7,-1.84,4.05,,,,
Ind,1897,Williams,1,7,1,0.167,0,0,0,,1.3,21.9,-13.78,0.89,,,,
Ind,1898,Harvard,11,0,0,1,0,0,0,,23.4,1.7,20.9,3.35,,,,
Ind,1898,Pennsylvania,12,1,0,0.923,0,0,0,,30.6,2.5,20.51,2.35,,,,
Ind,1898,Princeton,11,0,1,0.958,0,0,0,,22.2,0.4,17.28,0.86,,,,
Ind,1898,Cornell,10,2,0,0.833,0,0,0,,24.7,2.4,13.61,-2.22,,,,
Ind,1898,Dickinson,8,2,0,0.8,0,0,0,,21.1,8.6,5.37,-5.33,,,,
Ind,1898,Navy,7,1,0,0.875,0,0,0,,16.3,7,5.18,-3.07,,,,
Ind,1898,Yale,9,2,0,0.818,0,0,0,,13.3,3.1,13.35,3.89,,,,
Ind,1898,Bowdoin,8,3,1,0.708,0,0,0,,17,7.5,0.24,-6.51,,,,
Ind,1898,MIT,3,1,1,0.7,0,0,0,,8.4,3.2,-2.95,-8.75,,,,
Ind,1898,Wesleyan (CT),7,3,0,0.7,0,0,0,,21.5,5.4,11.52,1.02,,,,
Ind,1898,Brown,6,4,0,0.6,0,0,0,,13.5,9.6,5.14,2.34,,,,
Ind,1898,Carlisle,6,4,0,0.6,0,0,0,,20.3,9.9,9.45,5.05,,,,
Ind,1898,Penn State,6,4,0,0.6,0,0,0,,17.4,9.1,4.76,-0.34,,,,
Ind,1898,Army,3,2,1,0.583,0,0,0,,15,8.5,12.1,7.6,,,,
Ind,1898,Bucknell,4,4,3,0.5,0,0,0,,6.2,9.4,-7.51,-5.61,,,,
Ind,1898,Franklin & Marshall,4,4,2,0.5,0,0,0,,7.5,15.2,-4.79,-1.99,,,,
Ind,1898,Amherst,4,5,1,0.45,0,0,0,,14.6,22.3,-3.96,2.64,,,,
Ind,1898,Beloit,4,5,1,0.45,0,0,0,,10,9.5,-3.68,-1.98,,,,
Ind,1898,Dartmouth,5,6,0,0.455,0,0,0,,18.6,12.4,1.74,0.28,,,,
Ind,1898,Lehigh,3,6,1,0.35,0,0,0,,4.9,10.6,-4.07,0.54,,,,
Ind,1898,Trinity (CT),2,5,2,0.333,0,0,0,,3.9,15.1,-7.93,0.07,,,,
Ind,1898,Lafayette,3,8,0,0.273,0,0,0,,3.5,17.4,-7.22,2.96,,,,
Ind,1898,Williams,3,8,0,0.273,0,0,0,,4.7,10.6,-3.19,2.81,,,,
Ind,1898,Tufts,1,9,0,0.1,0,0,0,,3.9,15,-13.35,-3.15,,,,
Ind,1899,Harvard,10,0,1,0.955,0,0,0,,19.1,0.9,19.42,3.69,,,,
Ind,1899,Iowa,8,0,1,0.944,0,0,0,,24.8,0.6,15.29,-2.27,,,,
Ind,1899,Lafayette,12,1,0,0.923,0,0,0,,19.5,1.8,11.07,-2.24,,,,
Ind,1899,Princeton,12,1,0,0.923,0,0,0,,14.2,1.6,15.01,2.63,,,,
Ind,1899,Carlisle,9,2,0,0.818,0,0,0,,34.8,4.2,12.38,-0.72,,,,
Ind,1899,Wesleyan (CT),8,2,0,0.8,0,0,0,,20.7,5.3,9.91,-0.7,,,,
Ind,1899,Columbia,9,3,0,0.75,0,0,0,,18.7,7.6,9.85,-0.23,,,,
Ind,1899,Cornell,7,3,0,0.7,0,0,0,,13.4,5.2,9.84,3.74,,,,
Ind,1899,Grinnell,7,2,1,0.75,0,0,0,,12.9,3.8,4.43,-2.77,,,,
Ind,1899,Indiana,6,2,0,0.75,0,0,0,,16.6,4.1,4.75,-5.13,,,,
Ind,1899,Massachusetts,7,3,0,0.7,0,0,0,,13.6,6.6,-0.58,-6.78,,,,
Ind,1899,Yale,7,2,1,0.75,0,0,0,,19.1,1.6,15.87,3.47,,,,
Ind,1899,Beloit,5,2,2,0.667,0,0,0,,15.1,9.1,3.44,-0.79,,,,
Ind,1899,Brown,7,3,1,0.682,0,0,0,,15.9,5.2,9.14,0.69,,,,
Ind,1899,Bucknell,6,4,0,0.6,0,0,0,,14.9,12.9,-2.98,-4.68,,,,
Ind,1899,Navy,5,3,0,0.625,0,0,0,,11.8,3.4,5.31,-1.32,,,,
Ind,1899,Notre Dame,6,3,1,0.65,0,0,0,,16.9,5.5,5.59,-2.61,,,,
Ind,1899,Pennsylvania,8,3,2,0.692,0,0,0,,20.6,6.2,14.42,4.88,,,,
Ind,1899,Tufts,7,4,0,0.636,0,0,0,,9.4,7.5,-5.62,-8.26,,,,
Ind,1899,Williams,9,4,0,0.692,0,0,0,,12.3,7.2,2.26,-2.44,,,,
Ind,1899,Dickinson,6,6,1,0.5,0,0,0,,14.2,8.3,-3.83,-5.91,,,,
Ind,1899,Holy Cross,5,5,0,0.5,0,0,0,,13.5,8.1,-1.75,-3.45,,,,
Ind,1899,Iowa State,5,4,1,0.55,0,0,0,,11.7,3.8,2.56,-3.44,,,,
Ind,1899,Knox,4,4,1,0.5,0,0,0,,10.8,10.8,-0.02,-0.47,,,,
Ind,1899,Syracuse,4,4,0,0.5,0,0,0,,7.9,7.9,-3.88,-4,,,,
Ind,1899,Army,4,5,0,0.444,0,0,0,,6.3,11.1,1.55,6,,,,
Ind,1899,Lake Forest,4,6,2,0.417,0,0,0,,5.5,16.8,-11.72,-4.97,,,,
Ind,1899,Penn State,4,6,1,0.409,0,0,0,,9.5,16,-2.23,0.32,,,,
Ind,1899,Amherst,4,7,1,0.375,0,0,0,,6,16.1,-5.42,0.75,,,,
Ind,1899,Trinity (CT),3,5,1,0.389,0,0,0,,6.8,17.9,-7.74,-1.74,,,,
Ind,1899,Bowdoin,2,6,0,0.25,0,0,0,,5.1,12,-9.3,-3.55,,,,
Ind,1899,Dartmouth,2,7,0,0.222,0,0,0,,7.8,10.6,0.25,5.36,,,,
Ind,1899,Lehigh,2,9,0,0.182,0,0,0,,5.5,13.1,-7.28,1.99,,,,
Ind,1899,MIT,0,6,0,0,0,0,0,,2.8,26.2,-19.68,-1.35,,,,
Ind,1900,Yale,12,0,0,1,0,0,0,,28,0.8,24.97,3.64,,,,
Ind,1900,Harvard,10,1,0,0.909,0,0,0,,18.6,4,19.6,6.42,,,,
Ind,1900,Pennsylvania,12,1,0,0.923,0,0,0,,25.8,3.5,19.09,2.47,,,,
Ind,1900,Beloit,7,1,2,0.8,0,0,0,,25.3,2.3,8.68,-4.52,,,,
Ind,1900,Cornell,10,2,0,0.833,0,0,0,,13.9,4.6,4.95,-2.97,,,,
Ind,1900,Lafayette,9,2,0,0.818,0,0,0,,19.5,2.3,10.61,-3.12,,,,
Ind,1900,Nebraska,7,1,2,0.8,0,0,0,,12.9,2,1.75,-7.85,,,,
Ind,1900,Bowdoin,7,2,0,0.778,0,0,0,,21,6.6,8.13,-0.21,,,,
Ind,1900,Princeton,8,3,0,0.727,0,0,0,,15.4,5.2,9.24,2.61,,,,
Ind,1900,Syracuse,7,2,1,0.75,0,0,0,,20.8,6,3.77,-3.63,,,,
Ind,1900,Army,7,3,1,0.682,0,0,0,,9.9,6.2,3.55,-0.27,,,,
Ind,1900,Brown,7,3,1,0.682,0,0,0,,13.2,6.1,8.06,1.24,,,,
Ind,1900,Columbia,7,3,1,0.682,0,0,0,,11.3,7,8.1,4.65,,,,
Ind,1900,Drake,6,3,0,0.667,0,0,0,,14.3,5,-0.25,-6.47,,,,
Ind,1900,Knox,6,4,0,0.6,0,0,0,,14.3,9.2,0.93,-4.67,,,,
Ind,1900,Navy,6,3,0,0.667,0,0,0,,11.8,5.7,3.44,-0.78,,,,
Ind,1900,Notre Dame,6,3,1,0.65,0,0,0,,26.1,7.3,3.46,-3.74,,,,
Ind,1900,Carlisle,6,4,1,0.591,0,0,0,,18.8,8.4,6.74,0.1,,,,
Ind,1900,Dickinson,5,5,0,0.5,0,0,0,,11.9,8.3,0.04,-1.86,,,,
Ind,1900,Holy Cross,5,4,1,0.55,0,0,0,,5.5,7.2,-5.96,-5.36,,,,
Ind,1900,Massachusetts,5,5,0,0.5,0,0,0,,10.7,8,-6.35,-6.35,,,,
Ind,1900,Trinity (CT),4,3,1,0.563,0,0,0,,7,10.6,-2.38,-1.01,,,,
Ind,1900,Wesleyan (CT),5,4,0,0.556,0,0,0,,10.7,9.9,4.79,3.79,,,,
Ind,1900,Williams,6,4,1,0.591,0,0,0,,5.8,6.4,-1.37,-2.1,,,,
Ind,1900,Lehigh,5,6,0,0.455,0,0,0,,7.2,15.6,-4.36,0.1,,,,
Ind,1900,Penn State,4,6,1,0.409,0,0,0,,7.6,13.1,-7.31,-2.58,,,,
Ind,1900,Amherst,4,7,1,0.375,0,0,0,,9.1,8.8,0.33,1.33,,,,
Ind,1900,Bucknell,3,5,1,0.389,0,0,0,,14,7.9,-4.79,-6.9,,,,
Ind,1900,Dartmouth,2,4,2,0.375,0,0,0,,4.8,8.5,-2.8,0.95,,,,
Ind,1900,Grinnell,3,6,0,0.333,0,0,0,,3.9,21.7,-8.62,1.27,,,,
Ind,1900,Iowa State,2,5,1,0.313,0,0,0,,4.8,12.5,-12.03,-5.15,,,,
Ind,1900,Tufts,3,6,1,0.35,0,0,0,,8.2,9.5,0.18,2.08,,,,
Ind,1901,Harvard,12,0,0,1,0,0,0,,21.2,2,20.65,4.06,,,,
Ind,1901,Cornell,11,1,0,0.917,0,0,0,,27.7,1.2,14.44,-3.82,,,,
Ind,1901,Dartmouth,10,1,0,0.909,0,0,0,,26.5,4.3,15,-2.64,,,,
Ind,1901,Grinnell,7,1,1,0.833,0,0,0,,16.8,3,6.48,-4.75,,,,
Ind,1901,Holy Cross,7,1,1,0.833,0,0,0,,14,4.8,2.31,-6.03,,,,
Ind,1901,Massachusetts,8,1,0,0.889,0,0,0,,9.9,3.2,3.63,-3.48,,,,
Ind,1901,Notre Dame,8,1,1,0.85,0,0,0,,14.5,1.9,7.13,-3.57,,,,
Ind,1901,Princeton,9,1,1,0.864,0,0,0,,22.5,2.2,13.46,-1.81,,,,
Ind,1901,Yale,11,1,1,0.885,0,0,0,,19.3,2.8,16.64,2.03,,,,
Ind,1901,Army,5,1,2,0.75,0,0,0,,12.3,2.8,15.35,5.85,,,,
Ind,1901,Lafayette,9,3,0,0.75,0,0,0,,20,7.8,2.04,-6.87,,,,
Ind,1901,Nebraska,7,2,0,0.778,0,0,0,,19,5.8,5.65,-4.24,,,,
Ind,1901,Syracuse,7,2,0,0.778,0,0,0,,20.6,3.7,8.88,-4.45,,,,
Ind,1901,Bucknell,6,4,0,0.6,0,0,0,,14.5,4.6,0.28,-5.82,,,,
Ind,1901,Columbia,8,5,0,0.615,0,0,0,,12.2,7,6.71,1.86,,,,
Ind,1901,Penn State,5,3,0,0.625,0,0,0,,14.6,11.3,-1.09,-3.72,,,,
Ind,1901,Pennsylvania,10,5,0,0.667,0,0,0,,13.5,8.1,4.71,-0.29,,,,
Ind,1901,Williams,6,4,0,0.6,0,0,0,,11.9,5.2,8.03,3.03,,,,
Ind,1901,Bates,3,3,0,0.5,0,0,0,,6.7,8,0.2,1.7,,,,
Ind,1901,Beloit,5,3,3,0.591,0,0,0,,14.2,14.7,3.02,0.11,,,,
Ind,1901,Drake,4,4,0,0.5,0,0,0,,14.1,4.3,1.78,-4.6,,,,
Ind,1901,Navy,6,4,1,0.591,0,0,0,,10.3,7.4,1.54,-1.1,,,,
Ind,1901,Tufts,6,6,1,0.5,0,0,0,,7.9,8.2,-2.14,-1.6,,,,
Ind,1901,Vermont,5,5,1,0.5,0,0,0,,13.3,15.5,-3.35,-2.17,,,,
Ind,1901,Amherst,4,6,2,0.417,0,0,0,,7.3,8.5,-0.38,0.88,,,,
Ind,1901,Carlisle,5,7,1,0.423,0,0,0,,10.3,12.9,-1.78,1.06,,,,
Ind,1901,Dickinson,4,6,0,0.4,0,0,0,,7.9,10.9,-6.37,-3.47,,,,
Ind,1901,Kansas,3,5,2,0.4,0,0,0,,9.2,14.7,-8.06,-4.86,,,,
Ind,1901,Brown,4,7,1,0.375,0,0,0,,5.8,17.7,-5.96,1.62,,,,
Ind,1901,Iowa State,2,6,2,0.3,0,0,0,,5.6,13.3,-5.17,0.43,,,,
Ind,1901,Wesleyan (CT),3,6,1,0.35,0,0,0,,4.5,10.2,-1.31,3.99,,,,
Ind,1901,Boston College,2,7,0,0.222,0,0,0,,3.1,12,-8.48,-1.81,,,,
Ind,1901,Bowdoin,2,7,0,0.222,0,0,0,,9,19.1,-8.45,1.44,,,,
Ind,1901,Missouri,1,6,1,0.188,0,0,0,,3.6,19.4,-18.44,-6.19,,,,
Ind,1901,Trinity (CT),1,6,1,0.188,0,0,0,,2.9,14,-8.43,2.95,,,,
Ind,1901,Lehigh,1,11,0,0.083,0,0,0,,2.2,23.2,-16.89,-0.14,,,,
Ind,1902,Nebraska,10,0,0,1,0,0,0,,18.6,0,16.92,1.62,,,,
Ind,1902,Harvard,11,1,0,0.917,0,0,0,,15.3,3.8,14.07,2.9,,,,
Ind,1902,Yale,11,0,1,0.958,0,0,0,,23.8,1.8,22.73,4.57,,,,
Ind,1902,Army,6,1,1,0.813,0,0,0,,22.5,3.5,13.43,1.43,,,,
Ind,1902,Clemson,6,1,0,0.857,0,0,0,,21.7,3.1,11.05,-3.09,,,,
Ind,1902,Colorado,5,1,0,0.833,0,0,0,,14.5,3.7,7.42,-3.24,,,,
Ind,1902,Knox,9,2,0,0.818,0,0,0,,21.5,2,9.74,-2.26,,,,
Ind,1902,LSU,6,1,0,0.857,0,0,0,,11.4,3.9,5.79,-0.07,,,,
Ind,1902,Princeton,8,1,0,0.889,0,0,0,,18.2,1.9,16.39,0.73,,,,
Ind,1902,Vanderbilt,8,1,0,0.889,0,0,0,,23.8,6.7,11.6,-2.52,,,,
Ind,1902,Virginia,8,1,1,0.85,0,0,0,,15.7,5.1,6.62,-3.68,,,,
Ind,1902,Amherst,7,3,0,0.7,0,0,0,,13.3,5.5,7.9,0.6,,,,
Ind,1902,Carlisle,8,3,0,0.727,0,0,0,,22.8,4.6,8.94,-0.97,,,,
Ind,1902,Colorado Mines,4,1,2,0.714,0,0,0,,12.7,6.3,-1.37,-6.94,,,,
Ind,1902,Cornell,8,3,0,0.727,0,0,0,,29.5,3.5,10.72,-3.01,,,,
Ind,1902,Dartmouth,6,2,1,0.722,0,0,0,,11.7,4.3,6.66,-0.12,,,,
Ind,1902,Georgetown,7,3,0,0.7,0,0,0,,14.2,8.8,0.42,-2.68,,,,
Ind,1902,Haskell,8,2,1,0.773,0,0,0,,18.5,7.2,7.2,-1.98,,,,
Ind,1902,Holy Cross,6,2,1,0.722,0,0,0,,9.2,5,-3.04,-7.81,,,,
Ind,1902,Lafayette,8,3,0,0.727,0,0,0,,18.5,5.1,7.42,-2.76,,,,
Ind,1902,North Carolina,5,1,3,0.722,0,0,0,,13.6,3.8,4.36,-3.86,,,,
Ind,1902,Notre Dame,6,2,1,0.722,0,0,0,,22.6,5.7,6.66,-2.01,,,,
Ind,1902,Penn State,7,3,0,0.7,0,0,0,,21.2,3.4,7.83,-3.67,,,,
Ind,1902,Sewanee,7,2,0,0.778,0,0,0,,13,3.1,6.27,-2.18,,,,
Ind,1902,Syracuse,6,2,1,0.722,0,0,0,,19.1,10.3,7.57,0.02,,,,
Ind,1902,Tennessee,6,2,0,0.75,0,0,0,,11,4.9,4.78,-1.35,,,,
Ind,1902,Bucknell,6,4,0,0.6,0,0,0,,16.3,8.2,2.05,-2.36,,,,
Ind,1902,Drake,5,2,1,0.688,0,0,0,,15.9,2.9,4.36,-4.27,,,,
Ind,1902,Georgia,4,2,1,0.643,0,0,0,,7.9,7.4,0.9,-1.1,,,,
Ind,1902,Iowa State,6,3,1,0.65,0,0,0,,24.6,5.6,5.95,-3.65,,,,
Ind,1902,Kansas,6,4,0,0.6,0,0,0,,10.8,9.3,1.56,-0.24,,,,
Ind,1902,Lehigh,7,3,1,0.682,0,0,0,,22.4,5.2,7.22,-2.33,,,,
Ind,1902,Missouri,5,3,0,0.625,0,0,0,,12.4,10,4.21,0.34,,,,
Ind,1902,Pennsylvania,9,4,0,0.692,0,0,0,,12.1,5.2,8.04,1.43,,,,
Ind,1902,Texas,6,3,1,0.65,0,0,0,,8.7,4,0.7,-3.7,,,,
Ind,1902,Vermont,5,3,2,0.6,0,0,0,,12.5,6.5,1.18,-2.43,,,,
Ind,1902,Alabama,4,4,0,0.5,0,0,0,,23.9,6.1,1.42,-4.2,,,,
Ind,1902,Brown,5,4,1,0.55,0,0,0,,11.5,5.2,8.2,3.8,,,,
Ind,1902,Columbia,6,4,1,0.591,0,0,0,,14.8,9.2,1.76,-0.42,,,,
Ind,1902,Furman,4,3,4,0.545,0,0,0,,3.5,5.1,-5.22,-4.4,,,,
Ind,1902,Ole Miss,4,3,0,0.571,0,0,0,,17.3,6.6,4.06,-1.8,,,,
Ind,1902,Virginia Tech,3,2,1,0.583,0,0,0,,14.8,3.8,5.19,-1.65,,,,
Ind,1902,Colorado College,3,4,0,0.429,0,0,0,,8.3,9.3,-7,-6.14,,,,
Ind,1902,Denver,3,4,1,0.438,0,0,0,,4.3,7.5,-9.28,-6.4,,,,
Ind,1902,Dickinson,4,6,0,0.4,0,0,0,,7.3,11.4,-4.19,1.01,,,,
Ind,1902,Massachusetts,2,3,2,0.429,0,0,0,,5.7,3.9,-5.04,-5.33,,,,
Ind,1902,North Carolina State,3,4,2,0.444,0,0,0,,9,4.7,-0.26,-3.48,,,,
Ind,1902,Simpson,2,3,0,0.4,0,0,0,,6.8,10,0.25,2.25,,,,
Ind,1902,Tufts,4,6,1,0.409,0,0,0,,7.2,12.3,-7.32,-3.51,,,,
Ind,1902,Auburn,2,4,1,0.357,0,0,0,,6.6,6.4,0.88,1.17,,,,
