Season,Game.Number,Date,Oppponent,Result,UNO.Score,Opp.Score
2019,26,1/25/20,Colorado College,W,4,1
2019,27,1/31/20,Western Michigan,L,2,5
2019,28,2/1/20,Western Michigan,W,4,2
2019,29,2/7/20,Minnesota Duluth,L,2,3
2019,30,2/8/20,Minnesota Duluth,L,1,4
2019,31,2/21/20,Colorado College,W,5,0
2019,32,2/22/20,Colorado College,L,2,3
2019,33,2/28/20,Miami,L,0,3
2019,34,2/29/20,Miami,L,0,4
2019,35,3/6/20,North Dakota,W,4,1
2019,36,3/7/20,North Dakota,L,0,5
